ts,event_name,user_id,expected_in_matrix,observed,properties
2026-04-22T20:53:39.132Z,grant_claimed,bot-11,true,true,"{""viewport"":""desktop"",""wallet"":""Fnwrc5nGVuDLjMzYat71VcDG3jJSMob9cTDa3Ccc6sAC""}"
2026-04-22T20:53:48.145Z,feedback_opened,bot-11,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:52:44.205Z,invite_page_viewed,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:53:07.494Z,terms_expanded,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:53:07.643Z,invite_cta_clicked,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:53:37.782Z,grant_claimed,bot-12,true,true,"{""viewport"":""desktop"",""wallet"":""9MRVa6VFbFVXzXv9Eq9m4nzijYWv5sQ8nusvDd8eY2zD""}"
2026-04-22T20:53:49.140Z,feedback_opened,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:52:46.475Z,invite_page_viewed,bot-13,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:53:14.882Z,invite_cta_clicked,bot-13,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:53:45.023Z,grant_claimed,bot-13,true,true,"{""viewport"":""desktop"",""wallet"":""BtKsPE6WL8crbp7pu1kMEug3P4YFChP7sRmuu3PXUjsK""}"
2026-04-22T20:53:57.907Z,feedback_opened,bot-13,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:52:48.132Z,invite_page_viewed,bot-14,true,true,"{""viewport"":""mobile""}"
2026-04-22T20:53:27.516Z,invite_cta_clicked,bot-14,true,true,"{""viewport"":""mobile""}"
2026-04-22T20:53:57.796Z,grant_claimed,bot-14,true,true,"{""viewport"":""mobile"",""wallet"":""JCPoZLs5WQeCk9Xy5P9VwX4LgvfZduZDN8irQPcKNGrr""}"
2026-04-22T20:54:10.633Z,feedback_opened,bot-14,true,true,"{""viewport"":""mobile""}"
2026-04-22T20:52:50.561Z,invite_page_viewed,bot-15,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:53:09.994Z,invite_cta_clicked,bot-15,true,true,"{""viewport"":""desktop""}"
2026-04-22T20:53:40.147Z,grant_claimed,bot-15,true,true,"{""viewport"":""desktop"",""wallet"":""ApYBrU6SUsre2suaeDpWKaGDoKtzgCfysjq1PVP7sw5b""}"
2026-04-22T20:53:49.878Z,feedback_opened,bot-15,true,true,"{""viewport"":""desktop""}"
