ts,event_name,user_id,expected_in_matrix,observed,properties
2026-04-22T23:14:34.989Z,invite_page_viewed,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:14:55.503Z,invite_cta_clicked,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:15:25.658Z,grant_claimed,bot-01,true,true,"{""viewport"":""desktop"",""wallet"":""FdNpiuJJHFnKqoneSYRDeDheV2xGhkoiT5y1CcexPndC""}"
2026-04-22T23:15:37.193Z,feedback_opened,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:14:36.911Z,invite_page_viewed,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:15:04.252Z,invite_cta_clicked,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:15:34.378Z,grant_claimed,bot-02,true,true,"{""viewport"":""desktop"",""wallet"":""4XVAEJgfF8anFbb4316JptqvYTkPXkaTT3ow2ixi27Zb""}"
2026-04-22T23:15:45.969Z,feedback_opened,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:14:38.822Z,invite_page_viewed,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:15:03.085Z,invite_cta_clicked,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:15:33.378Z,grant_claimed,bot-03,true,true,"{""viewport"":""mobile"",""wallet"":""7JovE5N424z23ch5bPA28e7U95MsTvwmaUUZYaJcWCVU""}"
2026-04-22T23:15:43.284Z,feedback_opened,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:14:40.546Z,invite_page_viewed,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:15:00.725Z,invite_cta_clicked,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:15:30.826Z,grant_claimed,bot-04,true,true,"{""viewport"":""desktop"",""wallet"":""Ayqjm1VsCWXd2KUdjYbEoWwppNKKaxaoYsptt3Unte3v""}"
2026-04-22T23:15:35.850Z,feedback_opened,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:14:42.580Z,invite_page_viewed,bot-05,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:15:09.624Z,terms_expanded,bot-05,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:15:09.700Z,invite_cta_clicked,bot-05,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:15:39.942Z,grant_claimed,bot-05,true,true,"{""viewport"":""mobile"",""wallet"":""5MBDRGfoENA5ALUQVi3YkTSSi5Ea3tmbLDzD5zZLkBUA""}"
2026-04-22T23:15:50.466Z,feedback_opened,bot-05,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:14:44.503Z,invite_page_viewed,bot-06,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:15:12.386Z,terms_expanded,bot-06,true,true,"{""viewport"":""desktop""}"
