ts,event_name,user_id,expected_in_matrix,observed,properties
2026-04-22T22:59:05.965Z,invite_page_viewed,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:59:25.717Z,invite_cta_clicked,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:59:55.844Z,grant_claimed,bot-01,true,true,"{""viewport"":""desktop"",""wallet"":""FdNpiuJJHFnKqoneSYRDeDheV2xGhkoiT5y1CcexPndC""}"
2026-04-22T23:00:20.710Z,feedback_opened,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:59:08.109Z,invite_page_viewed,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:59:32.182Z,invite_cta_clicked,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T23:00:02.304Z,grant_claimed,bot-02,true,true,"{""viewport"":""desktop"",""wallet"":""4XVAEJgfF8anFbb4316JptqvYTkPXkaTT3ow2ixi27Zb""}"
2026-04-22T23:00:22.752Z,feedback_opened,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:59:10.431Z,invite_page_viewed,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:59:35.177Z,invite_cta_clicked,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T23:00:05.423Z,grant_claimed,bot-03,true,true,"{""viewport"":""mobile"",""wallet"":""7JovE5N424z23ch5bPA28e7U95MsTvwmaUUZYaJcWCVU""}"
2026-04-22T23:00:20.900Z,feedback_opened,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:59:12.205Z,invite_page_viewed,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:59:29.511Z,invite_cta_clicked,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:59:59.674Z,grant_claimed,bot-04,true,true,"{""viewport"":""desktop"",""wallet"":""Ayqjm1VsCWXd2KUdjYbEoWwppNKKaxaoYsptt3Unte3v""}"
