ts,event_name,user_id,expected_in_matrix,observed,properties
2026-04-22T22:40:09.113Z,grant_claimed,bot-11,true,true,"{""viewport"":""desktop"",""wallet"":""Fnwrc5nGVuDLjMzYat71VcDG3jJSMob9cTDa3Ccc6sAC""}"
2026-04-22T22:40:16.792Z,feedback_opened,bot-11,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:13.866Z,invite_page_viewed,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:36.588Z,terms_expanded,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:36.638Z,invite_cta_clicked,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:40:06.744Z,grant_claimed,bot-12,true,true,"{""viewport"":""desktop"",""wallet"":""9MRVa6VFbFVXzXv9Eq9m4nzijYWv5sQ8nusvDd8eY2zD""}"
2026-04-22T22:40:14.803Z,feedback_opened,bot-12,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:15.779Z,invite_page_viewed,bot-13,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:44.395Z,invite_cta_clicked,bot-13,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:40:14.509Z,grant_claimed,bot-13,true,true,"{""viewport"":""desktop"",""wallet"":""BtKsPE6WL8crbp7pu1kMEug3P4YFChP7sRmuu3PXUjsK""}"
2026-04-22T22:40:21.274Z,feedback_opened,bot-13,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:17.974Z,invite_page_viewed,bot-14,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:39:56.313Z,invite_cta_clicked,bot-14,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:40:26.571Z,grant_claimed,bot-14,true,true,"{""viewport"":""mobile"",""wallet"":""JCPoZLs5WQeCk9Xy5P9VwX4LgvfZduZDN8irQPcKNGrr""}"
2026-04-22T22:40:36.761Z,feedback_opened,bot-14,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:39:19.713Z,invite_page_viewed,bot-15,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:46.507Z,invite_cta_clicked,bot-15,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:40:16.650Z,grant_claimed,bot-15,true,true,"{""viewport"":""desktop"",""wallet"":""ApYBrU6SUsre2suaeDpWKaGDoKtzgCfysjq1PVP7sw5b""}"
2026-04-22T22:40:30.337Z,feedback_opened,bot-15,true,true,"{""viewport"":""desktop""}"
