ts,event_name,user_id,expected_in_matrix,observed,properties
2026-04-20T23:33:55.437Z,grant_claimed,bot-01,true,true,"{""wallet"":""CDTkhG47hZHqRN3PTCUJ6D4u3aJhF1cUVLpPtN8LUQYk""}"
2026-04-20T23:33:55.437Z,invite_page_viewed,bot-01,true,true,
2026-04-20T23:33:55.437Z,invite_cta_clicked,bot-01,true,true,
2026-04-20T23:33:55.563Z,grant_claimed,bot-02,true,true,"{""wallet"":""2qAkeGKRxAYme3Le71K3w6kgE5AoQ78ivvMMuwVfh45G""}"
2026-04-20T23:33:55.563Z,invite_page_viewed,bot-02,true,true,
2026-04-20T23:33:55.563Z,invite_cta_clicked,bot-02,true,true,
2026-04-20T23:33:55.698Z,grant_claimed,bot-03,true,true,"{""wallet"":""F2Zhs1Dv4hDujz9bkSkeC5VQVzSieJj8kFZLzdk9vbad""}"
2026-04-20T23:33:55.698Z,invite_page_viewed,bot-03,true,true,
2026-04-20T23:33:55.698Z,invite_cta_clicked,bot-03,true,true,
2026-04-20T23:33:56.859Z,grant_claimed,bot-04,true,true,"{""wallet"":""6157gNHp1wMyrP13At9HEimk96K3QcrkNURVg5dGQThB""}"
2026-04-20T23:33:56.859Z,invite_page_viewed,bot-04,true,true,
2026-04-20T23:33:56.859Z,about_demo_clicked,bot-04,true,true,
2026-04-20T23:33:56.859Z,invite_cta_clicked,bot-04,true,true,
2026-04-20T23:33:57.974Z,grant_claimed,bot-05,true,true,"{""wallet"":""DcDjukKCYRvJm8Eg13waw8oAKYzhShmsDjFfV9tAKPy3""}"
2026-04-20T23:33:57.974Z,invite_page_viewed,bot-05,true,true,
2026-04-20T23:33:57.974Z,terms_expanded,bot-05,true,true,
2026-04-20T23:33:57.974Z,invite_cta_clicked,bot-05,true,true,
2026-04-20T23:33:59.100Z,grant_claimed,bot-06,true,true,"{""wallet"":""HbR8LWqQPQdWjm51fZUP32aWzCZboQymGqFV6c12h5TX""}"
2026-04-20T23:33:59.100Z,invite_page_viewed,bot-06,true,true,
2026-04-20T23:33:59.100Z,terms_expanded,bot-06,true,true,
2026-04-20T23:33:59.100Z,invite_cta_clicked,bot-06,true,true,
2026-04-20T23:34:00.535Z,grant_claimed,bot-07,true,true,"{""wallet"":""2nKa5xrg1vUF5VGqDUzAACn4kcLTsvoxDhjczL5urLZy""}"
2026-04-20T23:34:00.535Z,invite_page_viewed,bot-07,true,true,
2026-04-20T23:34:00.535Z,invite_cta_clicked,bot-07,true,true,
